Repository	Tag	# of Vuls Originally	# of Vuls after Fix	Initial Audit	After i package-lock	After audit fix
postcssnormalize	v0.1.2	0	0	No Vul	No Vul	No Vul
postcssnormalize	v0.2.0	0	0	No Vul	No Vul	No Vul
postcssnormalize	v0.3.0	0	0	No Vul	No Vul	No Vul
randombytes	v2.0.3	29	31	Vul Found	Vul Found	Vul Found
randombytes	v2.0.4	29	29	Vul Found	Vul Found	Vul Found
randombytes	v2.0.5	29	29	Vul Found	Vul Found	Vul Found
randombytes	v2.0.6	29	29	Vul Found	Vul Found	Vul Found
randombytes	v2.1.0	29	29	ERR	Vul Found (Changed)	Vul Found
inherits	v1.0.1	1	1	Vul Found	Vul Found	Vul Found
inherits	v2.0.1	1	1	Vul Found	Vul Found	Vul Found
inherits	v2.0.2	1	1	Vul Found	Vul Found	Vul Found
inherits	v2.0.3	1	1	Vul Found	Vul Found	Vul Found
inherits	v2.0.4	8	1	Vul Found	Vul Found	Vul Found
urljoin	v2.0.4	6	6	Vul Found	Vul Found	Vul Found
urljoin	v2.0.5	6	6	Vul Found	Vul Found	Vul Found
urljoin	v3.0.0	6	6	Vul Found	Vul Found	Vul Found
urljoin	v4.0.0	6	6	Vul Found	Vul Found	Vul Found
urljoin	v4.0.1	10	6	Vul Found	Vul Found	Vul Found
memoryfs	v0.2.0	13	13	Vul Found	Vul Found	Vul Found
memoryfs	v0.3.0	13	13	Vul Found	Vul Found	Vul Found
memoryfs	v0.4.0	13	13	Vul Found	Vul Found	Vul Found
memoryfs	v0.4.1	13	13	Vul Found	Vul Found	Vul Found
memoryfs	v0.5.0	16	13	ERR	Vul Found (Changed)	Vul Found
isurl	1.2.0	0	0	No Vul	No Vul	No Vul
isurl	v1.2.1	0	0	No Vul	No Vul	No Vul
isurl	v1.2.2	0	0	No Vul	No Vul	No Vul
isurl	v1.2.3	0	0	No Vul	No Vul	No Vul
isurl	v1.2.4	0	0	ERR	No Vul (Changed)	No Vul
pkginfo	0.2.3	1	1	Vul Found	Vul Found	Vul Found
pkginfo	0.3.0	1	1	Vul Found	Vul Found	Vul Found
pkginfo	0.3.1	2	1	Vul Found	Vul Found	Vul Found
pkginfo	0.4.0	2	2	Vul Found	Vul Found	Vul Found
pkginfo	0.4.1	2	2	ERR	Vul Found (Changed)	Vul Found
nprogress	0.1.5	11	11	Vul Found	Vul Found	Vul Found
nprogress	v0.1.6	11	11	Vul Found	Vul Found	Vul Found
nprogress	v0.2.0	11	11	Vul Found	Vul Found	Vul Found
nprogress	v1.0.0-0	11	11	Vul Found	Vul Found	Vul Found
nprogress	v1.0.0-1	11	11	ERR	Vul Found (Changed)	Vul Found
looseenvify	v1.1.0	8	8	Vul Found	Vul Found	Vul Found
looseenvify	v1.2.0	16	8	Vul Found	Vul Found	Vul Found
looseenvify	v1.3.0	16	16	Vul Found	Vul Found	Vul Found
looseenvify	v1.3.1	16	16	Vul Found	Vul Found	Vul Found
looseenvify	v1.4.0	16	16	ERR	Vul Found (Changed)	Vul Found
dot	1.1.1	0	0	No Vul	No Vul	No Vul
dot	2.0.0-beta.0	0	0	No Vul	No Vul	No Vul
dot	v1.1.2	0	0	No Vul	No Vul	No Vul
dot	v1.1.3	0	0	No Vul	No Vul	No Vul
dot	v2.0.0-beta.1	0	0	ERR	No Vul (Changed)	No Vul
jsonloader	v0.5.3	6	6	Vul Found	Vul Found	Vul Found
jsonloader	v0.5.4	6	6	Vul Found	Vul Found	Vul Found
jsonloader	v0.5.5	6	6	Vul Found	Vul Found	Vul Found
jsonloader	v0.5.6	6	6	Vul Found	Vul Found	Vul Found
jsonloader	v0.5.7	10	6	Vul Found	Vul Found	Vul Found
validatenpmpackagename	v2.1.0	2	2	Vul Found	Vul Found	Vul Found
validatenpmpackagename	v2.2.0	2	2	Vul Found	Vul Found	Vul Found
validatenpmpackagename	v2.2.1	2	2	Vul Found	Vul Found	Vul Found
validatenpmpackagename	v2.2.2	15	2	Vul Found	Vul Found	Vul Found
validatenpmpackagename	v3.0.0	15	15	ERR	Vul Found (Changed)	Vul Found
xmlhttprequest	1.4.2	0	0	No Vul	No Vul	No Vul
xmlhttprequest	1.5.0	0	0	No Vul	No Vul	No Vul
xmlhttprequest	1.6.0	0	0	No Vul	No Vul	No Vul
xmlhttprequest	1.7.0	0	0	No Vul	No Vul	No Vul
xmlhttprequest	1.8.0	0	0	ERR	No Vul (Changed)	No Vul
clispinner	v0.2.10	0	0	ERR	No Vul (Changed)	No Vul
clispinner	v0.2.5	0	0	No Vul	No Vul	No Vul
clispinner	v0.2.6	0	0	No Vul	No Vul	No Vul
clispinner	v0.2.7	0	0	No Vul	No Vul	No Vul
clispinner	v0.2.8	0	0	No Vul	No Vul	No Vul
createhash	1.1.1	2	2	Vul Found	Vul Found	Vul Found
createhash	v1.1.0	2	2	Vul Found	Vul Found	Vul Found
createhash	v1.1.2	7	2	Vul Found	Vul Found	Vul Found
createhash	v1.1.3	1	7	Vul Found	Vul Found	Vul Found
createhash	v1.2.0	1	1	ERR	Vul Found (Changed)	Vul Found
opener	1.4.2	0	0	No Vul	No Vul	No Vul
opener	1.4.3	0	0	No Vul	No Vul	No Vul
opener	v1.5.0	0	0	No Vul	No Vul	No Vul
opener	v1.5.1	0	0	No Vul	No Vul	No Vul
opener	v1.5.2	2	0	Vul Found	Vul Found	No Vul (Changed)
extendshallow	2.0.0	5	5	Vul Found	Vul Found	Vul Found
extendshallow	2.0.1	4	5	Vul Found	Vul Found	Vul Found
extendshallow	3.0.0	4	4	Vul Found	Vul Found	Vul Found
extendshallow	3.0.1	4	4	Vul Found	Vul Found	Vul Found
extendshallow	3.0.2	4	4	ERR	Vul Found (Changed)	Vul Found
wordwrap	1.1.0	4	0	Vul Found	Vul Found	No Vul (Changed)
wordwrap	1.2.0	4	4	Vul Found	Vul Found	Vul Found
wordwrap	1.2.1	4	4	Vul Found	Vul Found	Vul Found
wordwrap	1.2.2	4	4	Vul Found	Vul Found	Vul Found
wordwrap	1.2.3	4	4	ERR	Vul Found (Changed)	Vul Found
passportlocal	v0.1.3	6	6	Vul Found	Vul Found	Vul Found
passportlocal	v0.1.4	6	6	Vul Found	Vul Found	Vul Found
passportlocal	v0.1.5	6	6	Vul Found	Vul Found	Vul Found
passportlocal	v0.1.6	6	6	Vul Found	Vul Found	Vul Found
passportlocal	v1.0.0	6	6	ERR	Vul Found (Changed)	Vul Found
mergestream	v0.1.7	0	0	No Vul	No Vul	No Vul
mergestream	v0.1.8	0	0	No Vul	No Vul	No Vul
mergestream	v1.0.0	0	0	No Vul	No Vul	No Vul
mergestream	v1.0.1	0	0	No Vul	No Vul	No Vul
mergestream	v2.0.0	0	0	ERR	No Vul (Changed)	No Vul
seleniumwebdriver	selenium-4.0.0-alpha-7	3	3	Vul Found	Vul Found	Vul Found
seleniumwebdriver	selenium-4.0.0-beta-1	3	3	Vul Found	Vul Found	Vul Found
seleniumwebdriver	selenium-4.0.0-beta-2	3	3	Vul Found	Vul Found	Vul Found
seleniumwebdriver	selenium-4.0.0-beta-3	3	3	Vul Found	Vul Found	Vul Found
seleniumwebdriver	selenium-4.0.0-beta-4	8	3	Vul Found	Vul Found	Vul Found
osenv	v0.1.1	11	11	Vul Found	Vul Found	Vul Found
osenv	v0.1.2	11	11	Vul Found	Vul Found	Vul Found
osenv	v0.1.3	11	11	Vul Found	Vul Found	Vul Found
osenv	v0.1.4	11	11	Vul Found	Vul Found	Vul Found
osenv	v0.1.5	18	11	Vul Found	Vul Found	Vul Found
leftpad	v1.1.1	0	0	No Vul	No Vul	No Vul
leftpad	v1.1.2	0	0	No Vul	No Vul	No Vul
leftpad	v1.1.3	0	0	No Vul	No Vul	No Vul
leftpad	v1.2.0	0	0	No Vul	No Vul	No Vul
leftpad	v1.3.0	0	0	ERR	No Vul (Changed)	No Vul
jwtsimple	v0.5.1	0	0	No Vul	No Vul	No Vul
jwtsimple	v0.5.3	0	0	No Vul	No Vul	No Vul
jwtsimple	v0.5.4	0	0	No Vul	No Vul	No Vul
jwtsimple	v0.5.5	0	0	No Vul	No Vul	No Vul
jwtsimple	v0.5.6	10	0	Vul Found	Vul Found	No Vul (Changed)
warning	v3.0.0	13	13	Vul Found	Vul Found	Vul Found
warning	v4.0.0	13	13	Vul Found	Vul Found	Vul Found
warning	v4.0.1	13	13	Vul Found	Vul Found	Vul Found
warning	v4.0.2	13	13	Vul Found	Vul Found	Vul Found
warning	v4.0.3	25	13	Vul Found	Vul Found	Vul Found
connecthistoryapifallback	v1.2.0	2	2	Vul Found	Vul Found	Vul Found
connecthistoryapifallback	v1.3.0	2	2	Vul Found	Vul Found	Vul Found
connecthistoryapifallback	v1.4.0	2	2	Vul Found	Vul Found	Vul Found
connecthistoryapifallback	v1.5.0	2	2	Vul Found	Vul Found	Vul Found
connecthistoryapifallback	v1.6.0	13	2	Vul Found	Vul Found	Vul Found
fspromise	0.5.0	4	4	Vul Found	Vul Found	Vul Found
fspromise	1.0.0	4	4	Vul Found	Vul Found	Vul Found
fspromise	2.0.0	4	4	Vul Found	Vul Found	Vul Found
fspromise	2.0.1	4	4	Vul Found	Vul Found	Vul Found
fspromise	2.0.2	4	4	ERR	Vul Found (Changed)	Vul Found
read	v1.0.3	0	0	No Vul	No Vul	No Vul
read	v1.0.4	0	0	No Vul	No Vul	No Vul
read	v1.0.5	0	0	No Vul	No Vul	No Vul
read	v1.0.6	8	0	Vul Found	Vul Found	No Vul (Changed)
read	v1.0.7	8	8	ERR	Vul Found (Changed)	Vul Found
touch	v2.0.0	15	15	Vul Found	Vul Found	Vul Found
touch	v2.0.1	15	15	Vul Found	Vul Found	Vul Found
touch	v2.0.2	15	15	Vul Found	Vul Found	Vul Found
touch	v3.0.0	16	15	Vul Found	Vul Found	Vul Found
touch	v3.1.0	21	16	Vul Found	Vul Found	Vul Found
commandexists	v1.2.5	5	5	Vul Found	Vul Found	Vul Found
commandexists	v1.2.6	5	5	Vul Found	Vul Found	Vul Found
commandexists	v1.2.7	5	5	Vul Found	Vul Found	Vul Found
commandexists	v1.2.8	5	5	Vul Found	Vul Found	Vul Found
commandexists	v1.2.9	6	5	Vul Found	Vul Found	Vul Found
md5	v2.0.0	7	7	Vul Found	Vul Found	Vul Found
md5	v2.1.0	7	7	Vul Found	Vul Found	Vul Found
md5	v2.2.0	7	7	Vul Found	Vul Found	Vul Found
md5	v2.2.1	7	7	Vul Found	Vul Found	Vul Found
md5	v2.3.0	11	7	Vul Found	Vul Found	Vul Found
gulpreplace	v1.0.0	0	0	No Vul	No Vul	No Vul
gulpreplace	v1.1.0	1	0	Vul Found	Vul Found	No Vul (Changed)
gulpreplace	v1.1.1	0	0	No Vul	No Vul	No Vul
gulpreplace	v1.1.2	0	0	No Vul	No Vul	No Vul
gulpreplace	v1.1.3	0	0	No Vul	No Vul	No Vul
keycode	2.1.6	4	4	Vul Found	Vul Found	Vul Found
keycode	2.1.7	4	4	Vul Found	Vul Found	Vul Found
keycode	2.1.8	4	4	Vul Found	Vul Found	Vul Found
keycode	2.1.9	4	4	Vul Found	Vul Found	Vul Found
keycode	2.2.0	4	4	ERR	Vul Found (Changed)	Vul Found
passportoauth2	v1.2.0	5	5	Vul Found	Vul Found	Vul Found
passportoauth2	v1.3.0	5	5	Vul Found	Vul Found	Vul Found
passportoauth2	v1.4.0	5	5	Vul Found	Vul Found	Vul Found
passportoauth2	v1.5.0	5	5	Vul Found	Vul Found	Vul Found
passportoauth2	v1.6.0	5	5	ERR	Vul Found (Changed)	Vul Found
normalizecss	5.0.0	9	9	Vul Found	Vul Found	Vul Found
normalizecss	6.0.0	9	9	Vul Found	Vul Found	Vul Found
normalizecss	7.0.0	9	9	Vul Found	Vul Found	Vul Found
normalizecss	8.0.0	9	9	Vul Found	Vul Found	Vul Found
normalizecss	8.0.1	0	0	No Vul	No Vul	No Vul
requireall	v1.1.0	0	0	No Vul	No Vul	No Vul
requireall	v2.0.0	0	0	No Vul	No Vul	No Vul
requireall	v2.1.0	0	0	No Vul	No Vul	No Vul
requireall	v2.2.0	0	0	No Vul	No Vul	No Vul
requireall	v3.0.0	0	0	ERR	No Vul (Changed)	No Vul
isobject	2.1.0	5	5	Vul Found	Vul Found	Vul Found
isobject	3.0.0	5	5	Vul Found	Vul Found	Vul Found
isobject	3.0.1	5	5	Vul Found	Vul Found	Vul Found
isobject	4.0.0	5	5	ERR	Vul Found (Changed)	Vul Found
isobject	v4.0.0	5	5	Vul Found	Vul Found	Vul Found
contenttype	v1.0.0	8	8	Vul Found	Vul Found	Vul Found
contenttype	v1.0.1	6	8	Vul Found	Vul Found	Vul Found
contenttype	v1.0.2	6	6	Vul Found	Vul Found	Vul Found
contenttype	v1.0.3	6	6	Vul Found	Vul Found	Vul Found
contenttype	v1.0.4	6	6	ERR	Vul Found (Changed)	Vul Found
gulprename	v1.0.0	2	2	Vul Found	Vul Found	Vul Found
gulprename	v1.1.0	2	2	Vul Found	Vul Found	Vul Found
gulprename	v1.2.0	2	2	Vul Found	Vul Found	Vul Found
gulprename	v1.2.1	2	2	Vul Found	Vul Found	Vul Found
gulprename	v1.2.2	2	2	ERR	Vul Found (Changed)	Vul Found
progress	1.1.2	0	0	No Vul	No Vul	No Vul
progress	1.1.4	0	0	No Vul	No Vul	No Vul
progress	1.1.5	0	0	No Vul	No Vul	No Vul
progress	1.1.8	0	0	No Vul	No Vul	No Vul
progress	2.0.0	0	0	ERR	No Vul (Changed)	No Vul
bindings	1.3.1	0	0	No Vul	No Vul	No Vul
bindings	1.4.0	0	0	No Vul	No Vul	No Vul
bindings	1.5.0	0	0	ERR	No Vul (Changed)	No Vul
bindings	v1.2.1	0	0	No Vul	No Vul	No Vul
bindings	v1.3.0	0	0	No Vul	No Vul	No Vul
ip	v1.1.0	6	6	Vul Found	Vul Found	Vul Found
ip	v1.1.1	6	6	Vul Found	Vul Found	Vul Found
ip	v1.1.2	6	6	Vul Found	Vul Found	Vul Found
ip	v1.1.4	6	6	Vul Found	Vul Found	Vul Found
ip	v1.1.5	6	6	ERR	Vul Found (Changed)	Vul Found
verror	v1.10.0	0	0	ERR	No Vul (Changed)	No Vul
verror	v1.6.1	0	0	No Vul	No Vul	No Vul
verror	v1.7.0	0	0	No Vul	No Vul	No Vul
verror	v1.8.0	0	0	No Vul	No Vul	No Vul
verror	v1.8.1	0	0	No Vul	No Vul	No Vul
clitable2	v0.1.6	18	18	Vul Found	Vul Found	Vul Found
clitable2	v0.1.7	18	18	Vul Found	Vul Found	Vul Found
clitable2	v0.1.8	18	18	Vul Found	Vul Found	Vul Found
clitable2	v0.1.9	10	18	Vul Found	Vul Found	Vul Found
clitable2	v0.2.0	10	10	ERR	Vul Found (Changed)	Vul Found
process	v0.11.10	28	28	ERR	Vul Found (Changed)	Vul Found
process	v0.11.6	6	6	Vul Found	Vul Found	Vul Found
process	v0.11.7	28	6	Vul Found	Vul Found	Vul Found
process	v0.11.8	28	28	Vul Found	Vul Found	Vul Found
process	v0.11.9	28	28	Vul Found	Vul Found	Vul Found
i	v0.3.2	1	1	Vul Found	Vul Found	Vul Found
i	v0.3.3	1	1	Vul Found	Vul Found	Vul Found
i	v0.3.4	1	1	Vul Found	Vul Found	Vul Found
i	v0.3.5	1	1	Vul Found	Vul Found	Vul Found
i	v0.3.6	1	1	ERR	Vul Found (Changed)	Vul Found
object-assign	v4.0.3	5	5	Vul Found	Vul Found	Vul Found
object-assign	v4.0.4	5	5	ERR	Vul Found (Changed)	Vul Found
object-assign	v4.1.0	-	-	ERR	ERR	ERR
object-assign	v4.1.1	-	-	ERR	ERR	ERR
object-assign	v4.1.2	-	-	ERR	ERR	ERR
rawloader	v3.0.0	1	1	Vul Found	Vul Found	Vul Found
rawloader	v3.1.0	1	1	Vul Found	Vul Found	Vul Found
rawloader	v4.0.0	1	1	Vul Found	Vul Found	Vul Found
rawloader	v4.0.1	1	1	Vul Found	Vul Found	Vul Found
rawloader	v4.0.2	11	1	Vul Found	Vul Found	Vul Found
sprintfjs	1.0.2	3	3	Vul Found	Vul Found	Vul Found
sprintfjs	1.0.3	3	3	Vul Found	Vul Found	Vul Found
sprintfjs	1.1.0	3	3	Vul Found	Vul Found	Vul Found
sprintfjs	1.1.1	3	3	Vul Found	Vul Found	Vul Found
sprintfjs	1.1.2	10	3	Vul Found	Vul Found	Vul Found
gulpinstall	0.4.0	5	5	Vul Found	Vul Found	Vul Found
gulpinstall	v0.5.0	5	5	Vul Found	Vul Found	Vul Found
gulpinstall	v0.6.0	8	5	Vul Found	Vul Found	Vul Found
gulpinstall	v1.0.1	8	8	Vul Found	Vul Found	Vul Found
gulpinstall	v1.1.0	8	8	ERR	Vul Found (Changed)	Vul Found
reacttapeventplugin	1.0.0	1	1	Vul Found	Vul Found	Vul Found
reacttapeventplugin	v0.2.0	1	1	Vul Found	Vul Found	Vul Found
reacttapeventplugin	v0.2.1	1	1	Vul Found	Vul Found	Vul Found
reacttapeventplugin	v0.2.2	1	1	Vul Found	Vul Found	Vul Found
reacttapeventplugin	v2.0.1	1	1	ERR	Vul Found (Changed)	Vul Found
httpstatuscodes	v2.1.4	5	0	Vul Found	Vul Found	No Vul (Changed)
httpstatuscodes	v2.1.4-beta.2	0	0	No Vul	No Vul	No Vul
httpstatuscodes	v2.1.4-beta.3	0	0	No Vul	No Vul	No Vul
httpstatuscodes	v2.1.4-beta.4	0	0	No Vul	No Vul	No Vul
httpstatuscodes	v2.1.4-beta.5	0	0	No Vul	No Vul	No Vul
minimist	0.2.1	2	2	Vul Found	Vul Found	Vul Found
minimist	1.2.2	2	2	Vul Found	Vul Found	Vul Found
minimist	1.2.3	2	2	Vul Found	Vul Found	Vul Found
minimist	1.2.4	2	2	Vul Found	Vul Found	Vul Found
minimist	1.2.5	2	2	ERR	Vul Found (Changed)	Vul Found
invariant	v2.2.0	9	9	Vul Found	Vul Found	Vul Found
invariant	v2.2.1	9	9	Vul Found	Vul Found	Vul Found
invariant	v2.2.2	9	9	Vul Found	Vul Found	Vul Found
invariant	v2.2.3	9	9	Vul Found	Vul Found	Vul Found
invariant	v2.2.4	9	9	ERR	Vul Found (Changed)	Vul Found
requestpromisenative	v1.0.5	12	12	Vul Found	Vul Found	Vul Found
requestpromisenative	v1.0.6	12	12	Vul Found	Vul Found	Vul Found
requestpromisenative	v1.0.7	12	12	Vul Found	Vul Found	Vul Found
requestpromisenative	v1.0.8	12	12	Vul Found	Vul Found	Vul Found
requestpromisenative	v1.0.9	12	12	ERR	Vul Found (Changed)	Vul Found
yamljs	v0.2.10	2	2	Vul Found	Vul Found	Vul Found
yamljs	v0.2.7	2	4	Vul Found	Vul Found	Vul Found
yamljs	v0.2.8	2	2	Vul Found	Vul Found	Vul Found
yamljs	v0.2.9	2	2	Vul Found	Vul Found	Vul Found
yamljs	v0.3.0	2	2	ERR	Vul Found (Changed)	Vul Found
safebuffer	v5.1.0	0	0	No Vul	No Vul	No Vul
safebuffer	v5.1.1	0	0	No Vul	No Vul	No Vul
safebuffer	v5.1.2	0	0	No Vul	No Vul	No Vul
safebuffer	v5.2.0	0	0	No Vul	No Vul	No Vul
safebuffer	v5.2.1	0	0	ERR	No Vul (Changed)	No Vul
hyperquest	2.0.0	1	1	Vul Found	Vul Found	Vul Found
hyperquest	v2.1.0	1	1	Vul Found	Vul Found	Vul Found
hyperquest	v2.1.1	1	1	Vul Found	Vul Found	Vul Found
hyperquest	v2.1.2	1	1	Vul Found	Vul Found	Vul Found
hyperquest	v2.1.3	1	1	Vul Found	Vul Found	Vul Found
xtend	v2.2.0	0	0	No Vul	No Vul	No Vul
xtend	v3.0.0	0	0	No Vul	No Vul	No Vul
xtend	v4.0.0	0	0	No Vul	No Vul	No Vul
