Repository	Tag	Initial Audit	After i package-lock	After audit fix
opener	v1.5.2	Vul Found	Vul Found	No Vul (Changed)
opener	v1.5.1	No Vul	No Vul	No Vul
opener	v1.5.0	No Vul	No Vul	No Vul
opener	1.4.3	No Vul	No Vul	No Vul
opener	1.4.2	No Vul	No Vul	No Vul
extendshallow	3.0.2	ERR	Vul Found (Changed)	Vul Found
extendshallow	3.0.1	Vul Found	Vul Found	Vul Found
extendshallow	3.0.0	Vul Found	Vul Found	Vul Found
extendshallow	2.0.1	Vul Found	Vul Found	Vul Found
extendshallow	2.0.0	Vul Found	Vul Found	Vul Found
wordwrap	1.2.3	ERR	Vul Found (Changed)	Vul Found
wordwrap	1.2.2	Vul Found	Vul Found	Vul Found
wordwrap	1.2.1	Vul Found	Vul Found	Vul Found
wordwrap	1.2.0	Vul Found	Vul Found	Vul Found
wordwrap	1.1.0	Vul Found	Vul Found	No Vul (Changed)
passportlocal	v1.0.0	ERR	Vul Found (Changed)	Vul Found
passportlocal	v0.1.6	Vul Found	Vul Found	Vul Found
passportlocal	v0.1.5	Vul Found	Vul Found	Vul Found
passportlocal	v0.1.4	Vul Found	Vul Found	Vul Found
passportlocal	v0.1.3	Vul Found	Vul Found	Vul Found
mergestream	v2.0.0	ERR	No Vul (Changed)	No Vul
mergestream	v1.0.1	No Vul	No Vul	No Vul
mergestream	v1.0.0	No Vul	No Vul	No Vul
mergestream	v0.1.8	No Vul	No Vul	No Vul
mergestream	v0.1.7	No Vul	No Vul	No Vul
seleniumwebdriver	selenium-4.0.0-beta-4	Vul Found	Vul Found	Vul Found
seleniumwebdriver	selenium-4.0.0-beta-3	Vul Found	Vul Found	Vul Found
seleniumwebdriver	selenium-4.0.0-beta-2	Vul Found	Vul Found	Vul Found
seleniumwebdriver	selenium-4.0.0-beta-1	Vul Found	Vul Found	Vul Found
seleniumwebdriver	selenium-4.0.0-alpha-7	Vul Found	Vul Found	Vul Found
osenv	v0.1.5	Vul Found	Vul Found	Vul Found
osenv	v0.1.4	Vul Found	Vul Found	Vul Found
osenv	v0.1.3	Vul Found	Vul Found	Vul Found
osenv	v0.1.2	Vul Found	Vul Found	Vul Found
osenv	v0.1.1	Vul Found	Vul Found	Vul Found
leftpad	v1.3.0	ERR	No Vul (Changed)	No Vul
leftpad	v1.2.0	No Vul	No Vul	No Vul
leftpad	v1.1.3	No Vul	No Vul	No Vul
leftpad	v1.1.2	No Vul	No Vul	No Vul
leftpad	v1.1.1	No Vul	No Vul	No Vul
jwtsimple	v0.5.6	Vul Found	Vul Found	No Vul (Changed)
jwtsimple	v0.5.5	No Vul	No Vul	No Vul
jwtsimple	v0.5.4	No Vul	No Vul	No Vul
jwtsimple	v0.5.3	No Vul	No Vul	No Vul
jwtsimple	v0.5.1	No Vul	No Vul	No Vul
warning	v4.0.3	Vul Found	Vul Found	Vul Found
warning	v4.0.2	Vul Found	Vul Found	Vul Found
warning	v4.0.1	Vul Found	Vul Found	Vul Found
warning	v4.0.0	Vul Found	Vul Found	Vul Found
warning	v3.0.0	Vul Found	Vul Found	Vul Found
connecthistoryapifallback	v1.6.0	Vul Found	Vul Found	Vul Found
connecthistoryapifallback	v1.5.0	Vul Found	Vul Found	Vul Found
connecthistoryapifallback	v1.4.0	Vul Found	Vul Found	Vul Found
connecthistoryapifallback	v1.3.0	Vul Found	Vul Found	Vul Found
connecthistoryapifallback	v1.2.0	Vul Found	Vul Found	Vul Found
fspromise	2.0.2	ERR	Vul Found (Changed)	Vul Found
fspromise	2.0.1	Vul Found	Vul Found	Vul Found
fspromise	2.0.0	Vul Found	Vul Found	Vul Found
fspromise	1.0.0	Vul Found	Vul Found	Vul Found
fspromise	0.5.0	Vul Found	Vul Found	Vul Found
read	v1.0.7	ERR	Vul Found (Changed)	Vul Found
read	v1.0.6	Vul Found	Vul Found	No Vul (Changed)
read	v1.0.5	No Vul	No Vul	No Vul
read	v1.0.4	No Vul	No Vul	No Vul
read	v1.0.3	No Vul	No Vul	No Vul
touch	v3.1.0	Vul Found	Vul Found	Vul Found
touch	v3.0.0	Vul Found	Vul Found	Vul Found
touch	v2.0.2	Vul Found	Vul Found	Vul Found
touch	v2.0.1	Vul Found	Vul Found	Vul Found
touch	v2.0.0	Vul Found	Vul Found	Vul Found
commandexists	v1.2.9	Vul Found	Vul Found	Vul Found
commandexists	v1.2.8	Vul Found	Vul Found	Vul Found
commandexists	v1.2.7	Vul Found	Vul Found	Vul Found
commandexists	v1.2.6	Vul Found	Vul Found	Vul Found
commandexists	v1.2.5	Vul Found	Vul Found	Vul Found
md5	v2.3.0	Vul Found	Vul Found	Vul Found
md5	v2.2.1	Vul Found	Vul Found	Vul Found
md5	v2.2.0	Vul Found	Vul Found	Vul Found
md5	v2.1.0	Vul Found	Vul Found	Vul Found
md5	v2.0.0	Vul Found	Vul Found	Vul Found
gulpreplace	v1.1.3	No Vul	No Vul	No Vul
gulpreplace	v1.1.2	No Vul	No Vul	No Vul
gulpreplace	v1.1.1	No Vul	No Vul	No Vul
gulpreplace	v1.1.0	Vul Found	Vul Found	No Vul (Changed)
gulpreplace	v1.0.0	No Vul	No Vul	No Vul
keycode	2.2.0	ERR	Vul Found (Changed)	Vul Found
keycode	2.1.9	Vul Found	Vul Found	Vul Found
keycode	2.1.8	Vul Found	Vul Found	Vul Found
keycode	2.1.7	Vul Found	Vul Found	Vul Found
keycode	2.1.6	Vul Found	Vul Found	Vul Found
passportoauth2	v1.6.0	ERR	Vul Found (Changed)	Vul Found
passportoauth2	v1.5.0	Vul Found	Vul Found	Vul Found
passportoauth2	v1.4.0	Vul Found	Vul Found	Vul Found
passportoauth2	v1.3.0	Vul Found	Vul Found	Vul Found
passportoauth2	v1.2.0	Vul Found	Vul Found	Vul Found
normalizecss	8.0.1	No Vul	No Vul	No Vul
normalizecss	8.0.0	Vul Found	Vul Found	Vul Found
normalizecss	7.0.0	Vul Found	Vul Found	Vul Found
normalizecss	6.0.0	Vul Found	Vul Found	Vul Found
normalizecss	5.0.0	Vul Found	Vul Found	Vul Found
requireall	v3.0.0	ERR	No Vul (Changed)	No Vul
requireall	v2.2.0	No Vul	No Vul	No Vul
requireall	v2.1.0	No Vul	No Vul	No Vul
requireall	v2.0.0	No Vul	No Vul	No Vul
requireall	v1.1.0	No Vul	No Vul	No Vul
hoganjs	v3.0.2	ERR	No Vul (Changed)	No Vul
hoganjs	v3.0.1	No Vul	No Vul	No Vul
hoganjs	v3.0.0	No Vul	No Vul	No Vul
isobject	4.0.0	ERR	Vul Found (Changed)	Vul Found
isobject	v4.0.0	Vul Found	Vul Found	Vul Found
isobject	3.0.1	Vul Found	Vul Found	Vul Found
isobject	3.0.0	Vul Found	Vul Found	Vul Found
isobject	2.1.0	Vul Found	Vul Found	Vul Found
contenttype	v1.0.4	ERR	Vul Found (Changed)	Vul Found
contenttype	v1.0.3	Vul Found	Vul Found	Vul Found
contenttype	v1.0.2	Vul Found	Vul Found	Vul Found
contenttype	v1.0.1	Vul Found	Vul Found	Vul Found
contenttype	v1.0.0	Vul Found	Vul Found	Vul Found
gulprename	v1.2.2	ERR	Vul Found (Changed)	Vul Found
gulprename	v1.2.1	Vul Found	Vul Found	Vul Found
gulprename	v1.2.0	Vul Found	Vul Found	Vul Found
gulprename	v1.1.0	Vul Found	Vul Found	Vul Found
gulprename	v1.0.0	Vul Found	Vul Found	Vul Found
progress	2.0.0	ERR	No Vul (Changed)	No Vul
progress	1.1.8	No Vul	No Vul	No Vul
progress	1.1.5	No Vul	No Vul	No Vul
progress	1.1.4	No Vul	No Vul	No Vul
progress	1.1.2	No Vul	No Vul	No Vul
bindings	1.5.0	ERR	No Vul (Changed)	No Vul
bindings	1.4.0	No Vul	No Vul	No Vul
bindings	1.3.1	No Vul	No Vul	No Vul
bindings	v1.3.0	No Vul	No Vul	No Vul
bindings	v1.2.1	No Vul	No Vul	No Vul
ip	v1.1.5	ERR	Vul Found (Changed)	Vul Found
ip	v1.1.4	Vul Found	Vul Found	Vul Found
ip	v1.1.2	Vul Found	Vul Found	Vul Found
ip	v1.1.1	Vul Found	Vul Found	Vul Found
ip	v1.1.0	Vul Found	Vul Found	Vul Found
gulpif	3.0.0	ERR	Vul Found (Changed)	Vul Found
gulpif	2.0.2	Vul Found	Vul Found	Vul Found
gulpif	2.0.1	Vul Found	Vul Found	Vul Found
gulpif	2.0.0	Vul Found	Vul Found	Vul Found
verror	v1.10.0	ERR	No Vul (Changed)	No Vul
verror	v1.8.1	No Vul	No Vul	No Vul
verror	v1.8.0	No Vul	No Vul	No Vul
verror	v1.7.0	No Vul	No Vul	No Vul
verror	v1.6.1	No Vul	No Vul	No Vul
clitable2	v0.2.0	ERR	Vul Found (Changed)	Vul Found
clitable2	v0.1.9	Vul Found	Vul Found	Vul Found
clitable2	v0.1.8	Vul Found	Vul Found	Vul Found
clitable2	v0.1.7	Vul Found	Vul Found	Vul Found
clitable2	v0.1.6	Vul Found	Vul Found	Vul Found
process	v0.11.10	ERR	Vul Found (Changed)	Vul Found
process	v0.11.9	Vul Found	Vul Found	Vul Found
process	v0.11.8	Vul Found	Vul Found	Vul Found
process	v0.11.7	Vul Found	Vul Found	Vul Found
process	v0.11.6	Vul Found	Vul Found	Vul Found
i	v0.3.6	ERR	Vul Found (Changed)	Vul Found
i	v0.3.5	Vul Found	Vul Found	Vul Found
i	v0.3.4	Vul Found	Vul Found	Vul Found
i	v0.3.3	Vul Found	Vul Found	Vul Found
i	v0.3.2	Vul Found	Vul Found	Vul Found
